Summary,Temperature (C),Humidity,Wind Speed (km/h)
Partly Cloudy,9.472222222,0.89,14.1197
Partly Cloudy,9.355555556,0.86,14.2646
Mostly Cloudy,9.377777778,0.89,3.9284
Partly Cloudy,8.288888889,0.83,14.1036
Mostly Cloudy,8.755555556,0.83,11.0446
Partly Cloudy,9.222222222,0.85,13.9587
Partly Cloudy,7.733333333,0.95,12.3648
Partly Cloudy,8.772222222,0.89,14.1519
Partly Cloudy,10.82222222,0.82,11.3183
Partly Cloudy,13.77222222,0.72,12.5258
Partly Cloudy,16.01666667,0.67,17.5651
Partly Cloudy,17.14444444,0.54,19.7869
Partly Cloudy,17.8,0.55,21.9443
Partly Cloudy,17.33333333,0.51,20.6885
Partly Cloudy,18.87777778,0.47,15.3755
Partly Cloudy,18.91111111,0.46,10.4006
Partly Cloudy,15.38888889,0.6,14.4095
Mostly Cloudy,15.55,0.63,11.1573
Mostly Cloudy,14.25555556,0.69,8.5169
Mostly Cloudy,13.14444444,0.7,7.6314
Mostly Cloudy,11.55,0.77,7.3899
Mostly Cloudy,11.18333333,0.76,4.9266
Partly Cloudy,10.11666667,0.79,6.6493
Mostly Cloudy,10.2,0.77,3.9284
Partly Cloudy,10.42222222,0.62,16.9855
Partly Cloudy,9.911111111,0.66,17.2109
Mostly Cloudy,11.18333333,0.8,10.8192
Partly Cloudy,7.155555556,0.79,11.0768
Partly Cloudy,6.111111111,0.82,6.6493
Partly Cloudy,6.788888889,0.83,13.0088
Mostly Cloudy,7.261111111,0.85,11.1734
Mostly Cloudy,7.8,0.83,12.8156
Mostly Cloudy,9.872222222,0.78,13.7494
Mostly Cloudy,12.22222222,0.72,15.6331
Mostly Cloudy,15.09444444,0.61,17.549
Mostly Cloudy,17.35555556,0.52,22.7815
Mostly Cloudy,19.00555556,0.46,23.8924
Mostly Cloudy,20.04444444,0.4,28.3682
Mostly Cloudy,21.05,0.4,26.9031
Mostly Cloudy,21.18333333,0.37,25.6956
Mostly Cloudy,20.11666667,0.4,25.3092
Mostly Cloudy,20.21666667,0.36,18.1125
Mostly Cloudy,20,0.43,23.4255
Mostly Cloudy,17.8,0.5,20.0445
Mostly Cloudy,16.06111111,0.53,21.3969
Mostly Cloudy,15.02222222,0.55,21.3808
Overcast,14.42222222,0.58,20.0123
Overcast,14.25555556,0.59,16.5025
Overcast,13.77222222,0.6,17.0982
Overcast,13.28333333,0.63,14.3612
Overcast,8.633333333,0.87,22.0409
